Student_ID,Gender,Age,Attendance,Study_Hours,Internet,Parent_Education,Family_Income,Sleep_Hours,Assignments,Previous_Grade,Final_Exam,Performance_Level
STU016132,Female,20,98.2,3.9,Yes,Bachelor Degree,46231.0,8.6,80.0,57.9,74.4,Good
STU022503,Male,18,87.2,3.9,No,Primary,25802.0,6.5,67.0,64.3,70.8,Good
STU009282,Female,19,88.6,5.1,Yes,Primary,65136.0,8.5,52.0,90.8,68.7,Average
STU020514,Male,18,100.0,3.9,Yes,Bachelor Degree,17844.0,5.5,73.0,86.5,84.6,Good
STU012396,Male,19,79.8,4.4,No,Bachelor Degree,52482.0,6.3,85.0,58.6,67.4,Average
STU029130,Male,18,84.2,4.3,Yes,High School,50884.0,5.1,77.0,82.8,81.7,Good
STU014981,Male,18,64.3,2.2,Yes,Ph.D,38071.0,7.5,79.0,61.0,59.5,Average
STU001359,Female,19,65.9,6.6,Yes,High School,37608.0,5.9,85.0,45.7,54.4,Average
STU009936,Male,19,80.9,4.8,Yes,High School,10869.0,6.3,89.0,77.8,63.9,Average
STU019500,Female,18,92.8,3.9,Yes,Master Degree,33091.0,6.807314349525405,76.0,49.6,65.9,Average
STU020045,Male,20,60.7,4.4,Yes,High School,45991.0,6.3,76.0,75.5,65.3,Average
STU006302,Female,20,95.9,4.9,No,High School,229961.0,6.1,97.0,30.0,54.8,Average
STU016691,Male,19,77.22603224834236,3.8,Yes,Bachelor Degree,82259.0,6.807314349525405,73.0,79.7,83.5,Good
STU026074,Female,19,80.1,3.3,Yes,Bachelor Degree,67165.0,4.8,70.0,30.0,55.9,Average
STU027028,Male,20,100.0,1.5,Yes,Primary,8903.0,8.3,65.0,66.2,91.9,Excellent
STU027899,Female,18,85.5,3.8,Yes,Primary,47682.0,6.4,83.0,61.9,70.9,Good
STU029634,Female,19,45.5,1.9,Yes,Master Degree,88699.0,5.5,65.0,39.9,60.4,Average
STU024571,Female,20,86.8,6.1,Yes,High School,97848.0,7.4,76.0,77.5,67.5,Average
STU023504,Male,19,74.9,4.6,Yes,High School,80032.0,4.4,61.0,49.6,58.9,Average
STU005576,Male,20,83.8,1.6,Yes,High School,25372.0,4.5,68.0,54.7,53.5,Average
STU018757,Male,20,80.2,4.9,Yes,Master Degree,36716.0,6.1,95.0,66.5,67.7,Average
STU019800,Male,18,58.6,2.3,Yes,Diploma,113698.0,9.4,57.0,64.96579496452914,57.4,Average
STU016491,Male,20,87.8,2.7,Yes,High School,26529.0,5.7,78.0,68.0,75.2,Good
STU026271,Female,18,100.0,8.0,Unknown,Primary,21669.0,9.2,100.0,72.7,83.7,Good
STU028935,Female,21,51.6,2.4,Yes,Primary,45882.0,7.8,84.0,56.7,65.5,Average
STU009664,Female,21,85.7,5.8,No,Bachelor Degree,49132.0,6.9,79.0,70.1,67.6,Average
STU014251,Female,18,46.6,1.9,No,Bachelor Degree,34786.0,7.9,63.0,70.6,63.4,Average
STU014387,Female,19,90.1,5.0,Yes,Diploma,24510.0,7.1,82.0,70.8,69.2,Average
STU024910,Male,20,55.8,3.5,Yes,High School,15410.0,7.8,62.0,42.4,61.7,Average
STU025955,Male,21,58.9,5.5,No,Diploma,37117.0,7.4,80.0,72.7,74.8,Good
STU017059,Male,20,41.7,5.0,Yes,Master Degree,55615.0,6.3,59.0,80.9,62.9,Average
STU012282,Female,19,67.7,6.0,Yes,Ph.D,121778.0,5.8,100.0,67.4,68.1,Average
STU017414,Male,21,77.22603224834236,6.4,Yes,Diploma,54573.0,7.1,78.90809031710079,83.8,92.0,Excellent
STU005678,Female,19,77.22603224834236,4.2,No,Primary,19412.0,8.0,83.0,79.9,62.6,Average
STU021794,Female,16,47.5,4.0,Yes,High School,63635.0,5.9,66.0,69.3,58.6,Average
STU006246,Male,18,73.8,5.038143027580883,Yes,Bachelor Degree,35134.0,6.8,70.0,64.96579496452914,62.9,Average
STU028958,Female,20,77.22603224834236,6.9,Yes,High School,23657.0,6.8,66.0,74.1,61.6,Average
STU012408,Male,18,84.5,8.2,Yes,Master Degree,45963.3443790757,5.4,85.0,64.8,79.7,Good
STU020495,Male,19,76.0,3.7,Yes,High School,45978.2719182539,4.3,78.90809031710079,82.1,62.7,Average
STU025294,Female,20,99.1,5.5,Yes,Bachelor Degree,18699.0,6.2,100.0,67.3,69.1,Average
STU022507,Male,19,77.22603224834236,6.3,Yes,Master Degree,54266.0,6.7,54.0,72.6,68.9,Average
STU022896,Male,19,100.0,2.6,Yes,Bachelor Degree,11308.0,7.8,64.0,49.6,50.2,Average
STU025532,Male,20,73.9,7.4,No,High School,20308.0,6.5,100.0,69.2,75.9,Good
STU016755,Female,19,74.0,4.4,Yes,No Formal Education,45963.3443790757,6.2,75.0,71.7,75.6,Good
STU002439,Male,20,35.1,7.0,Yes,Bachelor Degree,27519.0,7.7,78.90809031710079,71.1,91.5,Excellent
STU004540,Male,18,61.0,3.8,Yes,Bachelor Degree,19230.0,6.5,75.0,54.2,66.1,Average
STU011964,Male,20,83.6,5.4,Yes,Diploma,26723.0,8.2,78.90809031710079,72.6,77.3,Good
STU012236,Female,19,80.4,7.0,Yes,Primary,23505.0,4.5,100.0,54.3,55.5,Average
STU003841,Female,19,94.8,9.3,Yes,Master Degree,116929.0,8.2,88.0,59.6,31.0,Poor
STU011449,Female,21,88.4,0.9,Yes,Bachelor Degree,23182.0,6.2,88.0,64.96579496452914,85.0,Excellent
STU014142,Male,18,61.9,5.2,Yes,Master Degree,27419.0,7.4,90.0,47.2,53.7,Average
